 Domain ID                                                                                                                                          Annotation                                                                                                                                                                                                       Annotation Members in Network  Annotation Members in Network Count  Summed Significance Score  Enrichment P-value  Enrichment Q-value  Depletion P-value  Depletion Q-value
         1                                                                                                                                   copper ion import                                                                                                                                                                                                                           FRE1;FRE4                                    2                  28.775280               0.004            1.000000              0.996                1.0
         1                                                                                                 cell wall (1->3)-beta-D-glucan biosynthetic process                                                                                                                                                                                                                      GAS1;GAS3;GAS5                                    3                  26.387640               0.001            0.351000              1.000                1.0
         1                                                                                                          cell wall beta-glucan biosynthetic process                                                                                                                                                                                                                 GAS1;GAS3;GAS5;KAR2                                    4                  26.387640               0.001            0.351000              1.000                1.0
         1                                                                                     fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process                                                                                                                                                                                                                      GAS1;GAS3;GAS5                                    3                  26.387640               0.001            0.351000              1.000                1.0
         1                                                                                              fungal-type cell wall beta-glucan biosynthetic process                                                                                                                                                                                                                 GAS1;GAS3;GAS5;KAR2                                    4                  26.387640               0.001            0.351000              1.000                1.0
         1                                                                                                                                copper ion transport                                                                                                                                                                                                                 CCC2;FRE1;FRE4;QDR2                                    4                  25.162920               0.008            1.000000              0.996                1.0
         1                                                                                                                     regulation of dephosphorylation                                                                                                                                                                                                                           IST2;SCS2                                    2                  23.049825               0.012            1.000000              0.992                1.0
         1                                                                                                regulation of phosphatidylinositol dephosphorylation                                                                                                                                                                                                                           IST2;SCS2                                    2                  23.049825               0.012            1.000000              0.992                1.0
         1                                                                                                       cell wall polysaccharide biosynthetic process                                                                                                                                                                                                  FKS1;GAS1;GAS3;GAS5;GSC2;KAR2;MNN5                                    7                  22.132020               0.008            1.000000              1.000                1.0
         1                                                                                                                proton export across plasma membrane                                                                                                                                                                                                                           PMA1;PMA2                                    2                  21.550560               0.016            1.000000              1.000                1.0
         1                                                                                                        regulation of phospholipid metabolic process                                                                                                                                                                                                                 GTS1;IST2;NTE1;SCS2                                    4                  21.550560               0.016            1.000000              0.992                1.0
         1                                                                                                                     mannose transmembrane transport                                                                                                                                                                                                                      HXT1;HXT2;HXT5                                    3                  20.387640               0.020            1.000000              0.992                1.0
         1                                                                                                                            glucan catabolic process                                                                                                                                                                                                                CDC28;EXG2;GDB1;GPH1                                    4                  17.938200               0.032            1.000000              0.992                1.0
         1                                                                                                              phosphatidylinositol dephosphorylation                                                                                                                                                                                                               INP51;INP53;IST2;SCS2                                    4                  17.938200               0.032            1.000000              0.992                1.0
         1                                                                                                                      phospholipid dephosphorylation                                                                                                                                                                                                               INP51;INP53;IST2;SCS2                                    4                  17.938200               0.032            1.000000              0.992                1.0
         1                                                                                                                    polysaccharide catabolic process                                                                                                                                                                                                           CDC28;DSE4;EXG2;GDB1;GPH1                                    5                  17.938200               0.032            1.000000              0.992                1.0
         1                                                                                                                                xenobiotic transport                                                                                                                                                                                                           PDR15;PDR5;QDR2;SNQ2;YOR1                                    5                  17.938200               0.032            1.000000              0.992                1.0
         1                                                                                                                       export across plasma membrane                                                                                                                                                                                               PDR15;PDR5;PMA1;PMA2;QDR2;SAP185;SNQ2                                    7                  16.775280               0.040            1.000000              0.992                1.0
         1                                                                                                                       amino sugar metabolic process                                                                                                                                                                                                  BCH1;BMH1;BMH2;CHS3;CHS5;CRH1;UTR2                                    7                  16.278568               0.044            1.000000              0.992                1.0
         1                                                                                                                       aminoglycan metabolic process                                                                                                                                                                                                  BCH1;BMH1;BMH2;CHS3;CHS5;CRH1;UTR2                                    7                  16.278568               0.044            1.000000              0.992                1.0
         1                                                                                                                  cell wall chitin metabolic process                                                                                                                                                                                                  BCH1;BMH1;BMH2;CHS3;CHS5;CRH1;UTR2                                    7                  16.278568               0.044            1.000000              0.992                1.0
         1                                                                                                   glucosamine-containing compound metabolic process                                                                                                                                                                                                  BCH1;BMH1;BMH2;CHS3;CHS5;CRH1;UTR2                                    7                  16.278568               0.044            1.000000              0.992                1.0
         1                                                                                                                                  iron ion transport                                                                                                                                                                                            AIM14;ENB1;FRE1;FRE4;PET9;SIT1;SMF3;TDH3                                    8                  15.825105               0.048            1.000000              0.988                1.0
         2                                                                                                                                 protein sumoylation                                                                                                                                                                                                                KRE29;NSE3;SMC5;SMC6                                    4                  33.000000               0.001            0.200571              0.996                1.0
         2                                                                                                                                     vesicle coating                                                                                                                                                                                                              GLO3;SEC16;SEC23;SEC28                                    4                  33.000000               0.001            0.200571              0.996                1.0
         2                                                                                                              phosphatidic acid biosynthetic process                                                                                                                                                                                                                           AYR1;SLC1                                    2                  27.129006               0.001            1.000000              1.000                1.0
         2                                                                                                    regulation of DNA double-strand break processing                                                                                                                                                                                                                         DPB4;RTT107                                    2                  21.129006               0.012            1.000000              0.996                1.0
         2                                                                                                       resolution of DNA recombination intermediates                                                                                                                                                                                                                           SMC5;SMC6                                    2                  21.129006               0.012            1.000000              0.996                1.0
         2                                                                                                         vesicle targeting, to, from or within Golgi                                                                                                                                                                                                                    GLO3;SEC16;SEC23                                    3                  21.129006               0.012            1.000000              0.996                1.0
         2                                                                                                                      triglyceride metabolic process                                                                                                                                                                                                      AYR1;CDC28;GPT2;SAH1;TGL4;YJU3                                    6                  20.676553               0.004            1.000000              1.000                1.0
         2                                                                                                                      acylglycerol metabolic process                                                                                                                                                                                                 AYR1;CDC28;CMR2;GPT2;SAH1;TGL4;YJU3                                    7                  20.074493               0.008            1.000000              1.000                1.0
         2                                                                                                                     neutral lipid metabolic process                                                                                                                                                                                                 AYR1;CDC28;CMR2;GPT2;SAH1;TGL4;YJU3                                    7                  20.074493               0.008            1.000000              1.000                1.0
         2                                                                                              DNA double-strand break attachment to nuclear envelope                                                                                                                                                                                                                         RTT107;SMC6                                    2                  19.754680               0.016            1.000000              1.000                1.0
         2                                                                                                       chromosome attachment to the nuclear envelope                                                                                                                                                                                                                         RTT107;SMC6                                    2                  19.754680               0.016            1.000000              1.000                1.0
         2                                                                                                                                   Golgi inheritance                                                                                                                                                                                                                           RET2;SEC8                                    2                  18.688670               0.020            1.000000              1.000                1.0
         2                                                                                                                      acylglycerol catabolic process                                                                                                                                                                                                                AYR1;CDC28;TGL4;YJU3                                    4                  18.688670               0.020            1.000000              1.000                1.0
         2                                                                                                                     neutral lipid catabolic process                                                                                                                                                                                                                AYR1;CDC28;TGL4;YJU3                                    4                  18.688670               0.020            1.000000              1.000                1.0
         2                                                                                                                 regulation of DNA damage checkpoint                                                                                                                                                                                                                   CDC28;CMR1;RTT107                                    3                  18.688670               0.020            1.000000              0.996                1.0
         2                                                                                                                      triglyceride catabolic process                                                                                                                                                                                                                AYR1;CDC28;TGL4;YJU3                                    4                  18.688670               0.020            1.000000              1.000                1.0
         2                                                                                                                      glycerolipid catabolic process                                                                                                                                                                                            AYR1;CDC28;GDE1;NTE1;PGC1;PLB1;TGL4;YJU3                                    8                  15.377340               0.040            1.000000              0.996                1.0
         2                                                                                                       signal transduction in response to DNA damage                                                                                                                                                                          BMH1;BMH2;BRE1;CDC28;CMR1;FAR11;GLC7;LCD1;POL2;RTT107;TSA1                                   11                  14.506346               0.048            1.000000              0.996                1.0
         3                                                                                                       negative regulation of mRNA catabolic process                                                                                                                                                                                                                          ATP25;NAB2                                    2                  72.066496               0.016            1.000000              1.000                1.0
         3                                                                                                     negative regulation of translational initiation                                                                                                                                                                                                                 AAT2;MPT5;PAT1;TIF5                                    4                  29.012693               0.048            1.000000              1.000                1.0
         4                                                                                                                             RNA import into nucleus                                                                                                                                                                                                            RIO2;RNA1;SIS1;SSA2;YDJ1                                    5                  27.000000               0.001            0.100286              0.972                1.0
         4                                                                                                                            tRNA import into nucleus                                                                                                                                                                                                                      SIS1;SSA2;YDJ1                                    3                  27.000000               0.001            0.100286              0.980                1.0
         4                                                                                                                          stress granule disassembly                                                                                                                                                                                                                    HSP104;SBP1;SSA1                                    3                  19.975578               0.001            0.175500              0.992                1.0
         4                                                                                                                           sulfur compound transport                                                                                                                                                                                                                      MUP3;OAC1;VHT1                                    3                  17.287369               0.012            0.673920              0.992                1.0
         4                                                                                                                  protein insertion into ER membrane                                                                                                                                                                                                          BFR1;HSP104;MDY2;SGT2;YDJ1                                    5                  16.423098               0.012            1.000000              0.992                1.0
         4                                                                                  nuclear protein quality control by the ubiquitin-proteasome system                                                                                                                                                                                                                          CDC48;SIS1                                    2                  16.162920               0.016            0.774621              0.988                1.0
         4                                                                                                                     protein-RNA complex disassembly                                                                                                                                                                                                    DED1;HSP104;NTR2;PRP43;SBP1;SSA1                                    6                  15.710466               0.012            1.000000              0.992                1.0
         4                                                                                                          Golgi to plasma membrane protein transport                                                                                                                                                                                                                     ARL1;COF1;SEC18                                    3                  14.578099               0.024            0.910703              0.992                1.0
         4                                                                                                                             response to salt stress                                                                                                                                                                                                     ALD6;HSP42;MYO5;NST1;SIS2;TCO89                                    6                  13.965739               0.008            1.000000              0.984                1.0
         4                                                                                                                         dicarboxylic acid transport                                                                                                                                                                                                            BPT1;OAC1;TNA1;YCF1;YHM2                                    5                  13.453650               0.032            1.000000              0.980                1.0
         4                                                                                                                       monocarboxylic acid transport                                                                                                                                                                                                       ADY2;ATO2;FAA4;OAC1;VHT1;YBT1                                    6                  13.453650               0.032            1.000000              0.988                1.0
         4                                                                                                                              cell redox homeostasis                                                                                                                                                                                 AHP1;MRPL51;PMD1;POR1;SEN1;TRR1;TRX1;TRX2;TSA1;YCF1                                   10                  12.993277               0.036            1.000000              0.956                1.0
         7                                                                                                                     intracellular mRNA localization                                                                                                                                                                                BFR1;COP1;LOC1;MPT5;NUP60;SEC26;SEC27;SPT4;SPT5;SSD1                                   10                 104.938200               0.004            0.624000              1.000                1.0
         7                                                                                                'de novo' pyrimidine nucleobase biosynthetic process                                                                                                                                                                                                                      CPA2;URA4;URA6                                    3                  90.000000               0.001            0.280800              1.000                1.0
         7                                                                                                                        vitamin B6 metabolic process                                                                                                                                                                                                                  BUD17;PDX3;YBL036C                                    3                  90.000000               0.001            0.280800              1.000                1.0
         7                                                                                                      positive regulation of transmembrane transport                                                                                                                                                                                                                         RGC1;SAP185                                    2                  50.969100               0.020            1.000000              1.000                1.0
         7                                                                                                       glutamine family amino acid catabolic process                                                                                                                                                                                                                           CAR1;PUT2                                    2                  48.593663               0.024            1.000000              1.000                1.0
         7                                                                                                                          arginine metabolic process                                                                                                                                                                                                                           CAR1;CPA2                                    2                  44.845501               0.032            1.000000              1.000                1.0
         7                                                                                                     aromatic amino acid family biosynthetic process                                                                                                                                                                                                                           ARO3;TRP5                                    2                  44.845501               0.032            1.000000              1.000                1.0
         7                                                                                                                    nitrogen cycle metabolic process                                                                                                                                                                                                                           CAR1;URE2                                    2                  44.845501               0.032            1.000000              1.000                1.0
         7                                                                                        pyrimidine ribonucleoside monophosphate biosynthetic process                                                                                                                                                                                                                           URA4;URK1                                    2                  44.845501               0.032            1.000000              1.000                1.0
