Annotation,Domain ID,Matched Members,Matched Count,Summed Significance Score,Enrichment P-value,Enrichment Q-value,Depletion P-value,Depletion Q-value
maintenance of protein location in cell,27,BRE5;DID4;EMP24;EPS1;ERD2;ERP1;ERP2;ERP3;ERP4;NUM1;PEP8;PFY1;PTP2;RER1;SDS22;SVP26;TWF1;UBP3;VPS1;VPS13;VPS15;VPS27;VPS35;VPS36;VPS4;VPS5;VPS74;WTM1,28,90.0,0.001,0.09946153846153846,0.986,1.0
mRNA splice site recognition,20,CDC40;ISY1;LUC7;NAM8;PRP28;PRP39;PRP42;PRP8;PRP9;SKY1;YHC1,11,189.0,0.001,0.21550000000000002,1.0,1.0
transsulfuration,-1,,0,0.0,1.0,1.0,1.0,1.0
signal peptide processing,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of phosphatidylinositol dephosphorylation,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of actin polymerization or depolymerization,47,ABP1;AIM21;AIM3;AIP1;ARC15;ARC18;BNI1;BUD14;BZZ1;CAP1;CAP2;LAS17;PFY1;SLA1;SRV2;TDA2;TWF1,17,31.193820026016112,0.001,0.1293,1.0,1.0
indole-containing compound catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleoside metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nonfunctional rRNA decay,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of DNA-templated DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
pseudouridine synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
glycine metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of silent mating-type cassette heterochromatin formation,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of protein modification by small protein conjugation or removal,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of proteolysis involved in protein catabolic process,48,ESS1;MND2;PTH2;SCM3;UBP6,5,16.366059924485402,0.009,0.6124736842105263,1.0,1.0
replication fork processing,-1,,0,0.0,1.0,1.0,1.0,1.0
lysine biosynthetic process via aminoadipic acid,-1,,0,0.0,1.0,1.0,1.0,1.0
carbon catabolite regulation of transcription from RNA polymerase II promoter,32,ADR1;CAT8;CST6;ERT1;GCR1;HAP5;IMP21;MIG1;NRG2;RDS2;SNF5;SNF8;SPT6;SSN2;SSN3;STB3;SWI1;SWI3;TUP1;VPS25;VPS36,21,46.020599913279625,0.005,0.6465,1.0,1.0
nuclear polyadenylation-dependent rRNA catabolic process,31,AIR1;AIR2;CSL4;DIS3;LRP1;MPP6;MTR3;MTR4;PAP2;RAI1;RAT1;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;TRF5,19,135.0,0.001,0.036942857142857145,0.986,1.0
mitochondrion localization,47,ABF2;AIM21;ARC15;ARC18;ARP2;BUL1;CLU1;DNM1;FZO1;GEM1;JSN1;MDM10;MDM20;MDM32;MMR1;MYO2;NAT3;NUM1;OLE1;PHB1;PHB2;PUF3,22,27.0,0.001,0.1293,0.986,1.0
positive regulation of nucleocytoplasmic transport,52,CLA4;FUS3;POR1;RIO2;SKY1,5,15.552941247314495,0.006,1.0,1.0,1.0
mitochondrial DNA metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
exit from mitosis,-1,,0,0.0,1.0,1.0,1.0,1.0
very long-chain fatty acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleus localization,-1,,0,0.0,1.0,1.0,1.0,1.0
snRNA pseudouridine synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
vesicle cytoskeletal trafficking,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell shape,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell division,-1,,0,0.0,1.0,1.0,1.0,1.0
ribonucleoside monophosphate metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleobase metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
glycosyl compound catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein O-linked glycosylation,-1,,0,0.0,1.0,1.0,1.0,1.0
NADH oxidation,-1,,0,0.0,1.0,1.0,1.0,1.0
AMP metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of protein localization to mitochondrial membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of binding,-1,,0,0.0,1.0,1.0,1.0,1.0
vesicle coating,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of clathrin-dependent endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular modified amino acid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
amino acid catabolic process via Ehrlich pathway,-1,,0,0.0,1.0,1.0,1.0,1.0
signal transduction involved in filamentous growth,-1,,0,0.0,1.0,1.0,1.0,1.0
cardiolipin metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
"positive regulation of cytokinesis, actomyosin contractile ring assembly",-1,,0,0.0,1.0,1.0,1.0,1.0
pheromone response MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
error-prone translesion synthesis,-1,,0,0.0,1.0,1.0,1.0,1.0
mitotic spindle organization,-1,,0,0.0,1.0,1.0,1.0,1.0
N-terminal protein amino acid acetylation,5,ARD1;MAK10;MAK3;MAK31;MDM20;NAT1;NAT3;NAT5,8,150.0,0.001,0.1293,1.0,1.0
pyrimidine ribonucleoside monophosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
DNA duplex unwinding,-1,,0,0.0,1.0,1.0,1.0,1.0
axial cellular bud site selection,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrial RNA 5'-end processing,-1,,0,0.0,1.0,1.0,1.0,1.0
phosphate ion transmembrane transport,25,MIR1;PHO87;PHO89;PHO90;PHO91;PIC2;SYG1,7,75.68636235841012,0.003,0.2770714285714286,1.0,1.0
mating type determination,-1,,0,0.0,1.0,1.0,1.0,1.0
response to reactive oxygen species,-1,,0,0.0,1.0,1.0,1.0,1.0
response to carbohydrate,-1,,0,0.0,1.0,1.0,1.0,1.0
copper ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to chromosome,-1,,0,0.0,1.0,1.0,1.0,1.0
monocarboxylic acid catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of vesicle-mediated transport,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of translational fidelity,5,CDC60;CTK1;CTK2;CTK3;FRS2;GCD11;HPM1;ILS1;NAM2;RPL31A;RPL31B;RPS2;RPS23B;RPS5;RPS9B;SSB1;SSB2;SSZ1;SUA5;SUI1;TPA1;VAS1;YHR020W;ZUO1,24,119.89700043360187,0.004,0.39784615384615385,0.999,1.0
organic hydroxy compound catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protoporphyrinogen IX biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
purine ribonucleotide catabolic process,38,CDC19;CIT1;EMI2;ENO1;ENO2;FBA1;GLK1;GPM1;GPM2;HXK1;HXK2;PDA1;PDB1;PFK1;PFK2;PFK27;PGI1;PGK1;PYK2;SCS3;TDH1;TDH2;TDH3;TPI1,24,70.4948500216801,0.001,0.061571428571428576,1.0,1.0
establishment or maintenance of actin cytoskeleton polarity,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of actin filament bundle assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of mitotic spindle pole body separation,-1,,0,0.0,1.0,1.0,1.0,1.0
mitophagy,-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to vacuolar membrane,-1,,0,0.0,1.0,1.0,1.0,1.0
postreplication repair,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall integrity MAPK cascade,-1,,0,0.0,1.0,1.0,1.0,1.0
phospholipid transport,-1,,0,0.0,1.0,1.0,1.0,1.0
microtubule polymerization or depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleoside triphosphate biosynthetic process,19,ADK2;ATP1;ATP14;ATP15;ATP16;ATP17;ATP18;ATP19;ATP2;ATP20;ATP3;ATP4;ATP5;ATP6;ATP7;CDC21;CDC8;CPA2;DAS2;IMD2;IMD3;IMD4;RAD53;TIM11;URA2;URA7;URK1;VMA1;YNK1,29,123.0,0.001,0.21550000000000002,1.0,1.0
negative regulation of cell division,-1,,0,0.0,1.0,1.0,1.0,1.0
threonine biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of RNA polymerase II transcription preinitiation complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription initiation at RNA polymerase I promoter,-1,,0,0.0,1.0,1.0,1.0,1.0
alditol metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
deadenylation-dependent decapping of nuclear-transcribed mRNA,44,CDC36;DCP1;DCP2;DCS1;DCS2;DHH1;EAP1;EDC1;EDC2;LSM1;NOT3;NOT5;PAT1,13,30.0,0.001,0.14366666666666666,0.996,1.0
regulation of glucose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
ribosomal large subunit assembly,1,BRX1;DRS1;HPM1;IPI1;IPI3;LSG1;MAK11;MAK21;MRH4;MRT4;NOP53;POL5;REA1;REX4;RIX1;RPF2;RPL10;RPL11A;RPL11B;RPL12A;RPL12B;RPL14A;RPL14B;RPL25;RPL3;RPL33A;RPL40A;RPL40B;RPL5;RPL6A;RPL6B;RPP0;RRP5;RSA1;RSA3;RSA4;SPB4;SQT1;SSF1;SSF2;YVH1,41,363.0,0.001,0.6465,1.0,1.0
retrotransposon silencing,-1,,0,0.0,1.0,1.0,1.0,1.0
folic acid-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of glycogen metabolic process,60,IGD1;PCL10;PCL8;PHO85;PSK1,5,15.0,0.001,0.05621739130434782,1.0,1.0
pyrimidine-containing compound biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of TORC1 signaling,65,HSF1;IML1;NPR2;NPR3;PBP1;PSR1;TIP41;WHI2,8,15.084313719900202,0.007,0.8228181818181818,0.993,1.0
DNA synthesis involved in DNA repair,-1,,0,0.0,1.0,1.0,1.0,1.0
cellular response to monosaccharide stimulus,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of small molecule metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
mitochondrion-endoplasmic reticulum membrane tethering,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of DNA repair,-1,,0,0.0,1.0,1.0,1.0,1.0
protein unfolding,-1,,0,0.0,1.0,1.0,1.0,1.0
protein-containing complex remodeling,-1,,0,0.0,1.0,1.0,1.0,1.0
intracellular pH reduction,25,DBF2;MEH1;NHX1;PFK2;RAV1;RAV2;RRG1;SKP1;STV1;VMA1;VMA10;VMA11;VMA13;VMA16;VMA2;VMA3;VMA4;VMA5;VMA6;VMA7;VMA8;VPH1;VPS3;VPS45,24,90.0,0.001,0.09946153846153846,1.0,1.0
replication fork arrest,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of cytoskeleton organization,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of actin nucleation,-1,,0,0.0,1.0,1.0,1.0,1.0
protein export from nucleus,-1,,0,0.0,1.0,1.0,1.0,1.0
chromosome organization involved in meiotic cell cycle,-1,,0,0.0,1.0,1.0,1.0,1.0
centromere complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
pyrimidine nucleoside triphosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of exit from mitosis,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of attachment of spindle microtubules to kinetochore,61,ASK1;CDC7;DAD1;DAD2;DAD3;DAM1;DUO1;HSK3;SPC19;SPC34,10,15.0,0.001,0.43100000000000005,1.0,1.0
L-methionine salvage,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of chromosome organization,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of autophagosome assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
rRNA catabolic process,31,AIR1;AIR2;ASC1;CDC48;CRT10;CSL4;DIS3;DOM34;FAP1;FPR1;HBS1;HEL2;LRP1;MAG2;MMS1;MPP6;MTR3;MTR4;NPL4;PAP2;RAI1;RAT1;RPS3;RPT2;RPT6;RRP4;RRP40;RRP42;RRP43;RRP45;RRP46;RRP6;RTT101;SKI6;SKI7;SMU2;TRF5;UFD1;XRN1,39,135.0,0.001,0.036942857142857145,0.97,1.0
regulation of transcription from RNA polymerase II promoter by glucose,-1,,0,0.0,1.0,1.0,1.0,1.0
chromosome separation,48,APC11;APC5;BUB1;BUB3;CDC16;CDC23;CDC55;CDH1;CEP3;CHL4;CTF19;CTF3;DSL1;FIN1;GAC1;GLC7;IBD2;ISC1;MAD1;MAD2;MND2;MPS1;SMC5;SMC6;SPC105;TPD3;ULP2;YCG1;YCS4,29,24.0,0.001,0.11754545454545455,1.0,1.0
negative regulation of lipid biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of DNA recombination,-1,,0,0.0,1.0,1.0,1.0,1.0
"retrograde transport, vesicle recycling within Golgi",-1,,0,0.0,1.0,1.0,1.0,1.0
protein localization to endosome,-1,,0,0.0,1.0,1.0,1.0,1.0
phospholipid translocation,-1,,0,0.0,1.0,1.0,1.0,1.0
hexose biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of receptor-mediated endocytosis,-1,,0,0.0,1.0,1.0,1.0,1.0
polyamine transport,-1,,0,0.0,1.0,1.0,1.0,1.0
nucleolar chromatin organization,-1,,0,0.0,1.0,1.0,1.0,1.0
actin filament-based transport,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of small GTPase mediated signal transduction,-1,,0,0.0,1.0,1.0,1.0,1.0
plasmid partitioning,-1,,0,0.0,1.0,1.0,1.0,1.0
fungal-type cell wall assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of molecular function,-1,,0,0.0,1.0,1.0,1.0,1.0
premeiotic DNA replication,-1,,0,0.0,1.0,1.0,1.0,1.0
telomere localization,56,CTF18;CTF8;DCC1;ESC1;MLP1;MLP2;MPS2;MPS3;NUP100;NUP116;NUP120;NUP133;NUP145;NUP170;NUP49;NUP60;NUP84;SCP160;SIR2;SIR3;SIR4,21,18.0,0.001,0.09235714285714286,1.0,1.0
phosphatidylinositol phosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
hydrogen peroxide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
transcription-coupled nucleotide-excision repair,17,CDC73;CTR9;DEF1;HPR1;LEO1;PAF1;RAD26;RPB9;RTF1;SAC3;SEN1;SET2;SPT4;SPT5;SUB2;THO2;THP1;YRA1,18,111.0,0.001,0.07605882352941176,1.0,1.0
amide catabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
protein import into peroxisome matrix,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of nuclear division,-1,,0,0.0,1.0,1.0,1.0,1.0
pre-replicative complex assembly,-1,,0,0.0,1.0,1.0,1.0,1.0
signal transduction in response to DNA damage,-1,,0,0.0,1.0,1.0,1.0,1.0
regulation of cell wall organization or biogenesis,-1,,0,0.0,1.0,1.0,1.0,1.0
manganese ion transport,-1,,0,0.0,1.0,1.0,1.0,1.0
cell wall mannoprotein biosynthetic process,27,ANP1;GON7;HOC1;KRE2;KTR1;KTR3;MNN10;MNN9;PMI40;PSA1;VAN1;YUR1,12,95.04575749056067,0.001,0.09946153846153846,1.0,1.0
establishment of protein localization to extracellular region,-1,,0,0.0,1.0,1.0,1.0,1.0
negative regulation of mRNA metabolic process,4,ATP25;HEK2;IGO1;IGO2;NAB2;NAB6;RPL30;SYC1,8,131.15870975284693,0.005,1.0,1.0,1.0
cell redox homeostasis,-1,,0,0.0,1.0,1.0,1.0,1.0
protein K11-linked ubiquitination,48,APC1;APC2;APC4;APC5;DOC1,5,24.0,0.001,0.11754545454545455,1.0,1.0
trehalose metabolic process,-1,,0,0.0,1.0,1.0,1.0,1.0
positive regulation of microtubule polymerization or depolymerization,-1,,0,0.0,1.0,1.0,1.0,1.0
valine metabolic process,34,BAT1;BAT2;EHD3;ILV2;ILV3;ILV5;ILV6;LPD1,8,76.56863623584101,0.001,0.09946153846153846,1.0,1.0
regulation of DNA binding,-1,,0,0.0,1.0,1.0,1.0,1.0
establishment of protein localization to peroxisome,-1,,0,0.0,1.0,1.0,1.0,1.0
purine nucleoside bisphosphate biosynthetic process,-1,,0,0.0,1.0,1.0,1.0,1.0
